"q_sort_order","question","questionaire_type","answer","score","weight","ans_sort_order"
1,"In uncertain times I usually expect the best.","Psychological Profile",0,0,1,1
1,"In uncertain times I usually expect the best.","Psychological Profile",1,1,1,2
1,"In uncertain times I usually expect the best.","Psychological Profile",2,2,1,3
1,"In uncertain times I usually expect the best.","Psychological Profile",3,3,1,4
1,"In uncertain times I usually expect the best.","Psychological Profile",4,4,1,5
2,"It's easy for me to relax.","Psychological Profile",0,0,1,6
2,"It's easy for me to relax.","Psychological Profile",1,1,1,7
2,"It's easy for me to relax.","Psychological Profile",2,2,1,8
2,"It's easy for me to relax.","Psychological Profile",3,3,1,9
2,"It's easy for me to relax.","Psychological Profile",4,4,1,10
3,"If something can go wrong for me it will.","Psychological Profile",0,4,1,11
3,"If something can go wrong for me it will.","Psychological Profile",1,3,1,12
3,"If something can go wrong for me it will.","Psychological Profile",2,2,1,13
3,"If something can go wrong for me it will.","Psychological Profile",3,1,1,14
3,"If something can go wrong for me it will.","Psychological Profile",4,0,1,15
4,"I'm always optimistic about my future.","Psychological Profile",0,0,1,16
4,"I'm always optimistic about my future.","Psychological Profile",1,1,1,17
4,"I'm always optimistic about my future.","Psychological Profile",2,2,1,18
4,"I'm always optimistic about my future.","Psychological Profile",3,3,1,19
4,"I'm always optimistic about my future.","Psychological Profile",4,4,1,20
5,"I enjoy my friends a lot.","Psychological Profile",0,0,1,21
5,"I enjoy my friends a lot.","Psychological Profile",1,1,1,22
5,"I enjoy my friends a lot.","Psychological Profile",2,2,1,23
5,"I enjoy my friends a lot.","Psychological Profile",3,3,1,24
5,"I enjoy my friends a lot.","Psychological Profile",4,4,1,25
6,"It's important for me to keep busy.","Psychological Profile",0,0,1,26
6,"It's important for me to keep busy.","Psychological Profile",1,1,1,27
6,"It's important for me to keep busy.","Psychological Profile",2,2,1,28
6,"It's important for me to keep busy.","Psychological Profile",3,3,1,29
6,"It's important for me to keep busy.","Psychological Profile",4,4,1,30
7,"I hardly ever expect things to go my way.","Psychological Profile",0,4,1,31
7,"I hardly ever expect things to go my way.","Psychological Profile",1,3,1,32
7,"I hardly ever expect things to go my way.","Psychological Profile",2,2,1,33
7,"I hardly ever expect things to go my way.","Psychological Profile",3,1,1,34
7,"I hardly ever expect things to go my way.","Psychological Profile",4,0,1,35
8,"I don't get upset too easily.","Psychological Profile",0,0,1,36
8,"I don't get upset too easily.","Psychological Profile",1,1,1,37
8,"I don't get upset too easily.","Psychological Profile",2,2,1,38
8,"I don't get upset too easily.","Psychological Profile",3,3,1,39
8,"I don't get upset too easily.","Psychological Profile",4,4,1,40
9,"I rarely count on good things happening to me.","Psychological Profile",0,4,1,41
9,"I rarely count on good things happening to me.","Psychological Profile",1,3,1,42
9,"I rarely count on good things happening to me.","Psychological Profile",2,2,1,43
9,"I rarely count on good things happening to me.","Psychological Profile",3,1,1,44
9,"I rarely count on good things happening to me.","Psychological Profile",4,0,1,45
10,"Overall I expect more good things to happen to me than bad.","Psychological Profile",0,0,1,46
10,"Overall I expect more good things to happen to me than bad.","Psychological Profile",1,1,1,47
10,"Overall I expect more good things to happen to me than bad.","Psychological Profile",2,2,1,48
10,"Overall I expect more good things to happen to me than bad.","Psychological Profile",3,3,1,49
10,"Overall I expect more good things to happen to me than bad.","Psychological Profile",4,4,1,50
