Date,Fund_A,Fund_B,Fund_C,Fund_D
2015-12-31,100.0,100.0,100.0,100.0
2016-01-01,100.49,98.82,100.93,100.04
2016-01-02,100.39,99.05,102.72,100.04
2016-01-03,101.02,98.91,102.25,100.04
2016-01-04,102.48,98.44,103.15,100.04
2016-01-05,102.29,98.03,102.93,100.04
2016-01-06,102.1,97.93,104.06,100.07
2016-01-07,103.62,95.86,102.29,100.07
2016-01-08,104.39,95.49,100.47,100.07
2016-01-09,103.97,95.01,100.08,100.07
2016-01-10,104.53,95.35,99.14,100.11
2016-01-11,104.12,94.91,98.62,100.11
2016-01-12,103.71,94.82,98.42,100.11
2016-01-13,103.97,95.73,99.28,100.11
2016-01-14,102.2,96.33,98.88,100.11
2016-01-15,100.63,96.89,98.02,100.11
2016-01-16,100.14,96.63,97.68,100.11
2016-01-17,99.25,96.97,96.89,100.11
2016-01-18,99.57,96.86,95.93,100.16
2016-01-19,98.77,96.78,94.26,100.16
2016-01-20,97.54,97.05,94.38,100.16
2016-01-21,98.89,96.73,93.83,100.16
2016-01-22,98.71,97.63,94.91,100.16
2016-01-23,98.81,97.56,93.42,100.21
2016-01-24,97.56,97.96,92.9,100.25
2016-01-25,97.1,98.85,94.87,100.25
2016-01-26,97.23,99.49,93.92,100.25
2016-01-27,96.24,98.68,93.72,100.25
2016-01-28,96.61,98.98,92.5,100.25
2016-01-29,96.11,99.51,91.16,100.25
2016-01-30,95.88,100.08,92.81,100.27
2016-01-31,95.39,99.44,93.04,100.27
2016-02-01,97.05,99.08,93.23,100.29
2016-02-02,97.07,99.7,91.51,100.3
2016-02-03,96.16,99.28,91.93,100.3
2016-02-04,96.92,99.13,93.19,100.3
2016-02-05,95.88,100.1,94.45,100.3
2016-02-06,96.09,100.1,95.21,100.3
2016-02-07,94.41,99.69,94.06,100.32
2016-02-08,93.3,99.2,94.45,100.32
2016-02-09,93.5,99.43,95.21,100.32
2016-02-10,94.16,98.66,93.36,100.32
2016-02-11,94.34,98.54,92.23,100.32
2016-02-12,94.27,98.77,93.21,100.32
2016-02-13,94.04,99.58,94.19,100.35
2016-02-14,92.81,100.01,92.61,100.35
2016-02-15,92.23,99.61,93.49,100.35
2016-02-16,91.87,100.35,93.64,100.35
2016-02-17,92.79,100.19,94.52,100.35
2016-02-18,93.11,99.48,93.9,100.35
2016-02-19,91.65,99.41,94.63,100.35
2016-02-20,91.95,100.3,95.59,100.35
2016-02-21,91.66,100.43,95.26,100.39
2016-02-22,91.12,100.47,95.33,100.39
2016-02-23,91.66,101.5,94.69,100.39
2016-02-24,92.56,100.65,96.52,100.39
2016-02-25,93.39,99.91,96.44,100.39
2016-02-26,92.7,98.97,95.49,100.39
2016-02-27,92.47,99.22,94.78,100.39
2016-02-28,92.78,99.35,94.96,100.39
2016-02-29,93.64,100.31,95.82,100.39
2016-03-01,93.26,100.48,94.44,100.39
2016-03-02,93.13,100.27,96.48,100.39
2016-03-03,92.22,100.3,96.87,100.39
2016-03-04,91.25,100.4,97.43,100.39
2016-03-05,91.96,99.43,97.38,100.39
2016-03-06,93.14,101.09,97.45,100.39
2016-03-07,93.11,101.44,97.34,100.39
2016-03-08,94.0,101.6,98.51,100.4
2016-03-09,94.34,102.0,98.56,100.44
2016-03-10,93.81,102.47,99.47,100.44
2016-03-11,94.16,102.42,99.03,100.46
2016-03-12,95.52,102.06,99.31,100.46
2016-03-13,95.52,102.46,98.46,100.46
2016-03-14,96.93,102.73,99.88,100.47
2016-03-15,94.66,102.26,99.0,100.47
2016-03-16,95.41,103.16,98.69,100.48
2016-03-17,95.52,103.38,98.39,100.48
2016-03-18,95.29,103.86,98.05,100.48
2016-03-19,95.4,104.77,98.91,100.5
2016-03-20,93.71,104.81,98.61,100.54
2016-03-21,93.55,105.04,100.22,100.54
2016-03-22,93.88,105.59,99.35,100.54
2016-03-23,95.2,105.16,99.6,100.54
2016-03-24,94.77,105.23,98.78,100.54
2016-03-25,94.11,105.34,99.31,100.54
2016-03-26,93.7,104.76,99.34,100.54
2016-03-27,94.52,106.27,99.22,100.54
2016-03-28,94.84,105.4,100.61,100.55
2016-03-29,94.41,104.61,99.93,100.55
2016-03-30,94.89,105.48,100.64,100.58
2016-03-31,95.0,105.96,99.83,100.62
2016-04-01,95.88,105.34,100.01,100.62
