Date,Fund_A,Fund_B,Fund_C,Fund_D
2015-12-31,100.0,100.0,100.0,100.0
2016-01-01,100.51,98.77,100.95,100.05
2016-01-02,100.42,99.01,102.77,100.05
2016-01-03,101.08,98.85,102.29,100.05
2016-01-04,102.59,98.36,103.22,100.06
2016-01-05,102.4,97.93,102.98,100.06
2016-01-06,102.22,97.83,104.14,100.1
2016-01-07,103.8,95.67,102.32,100.1
2016-01-08,104.6,95.27,100.45,100.1
2016-01-09,104.18,94.78,100.06,100.1
2016-01-10,104.76,95.12,99.09,100.14
2016-01-11,104.35,94.67,98.55,100.16
2016-01-12,103.93,94.57,98.35,100.16
2016-01-13,104.22,95.51,99.22,100.16
2016-01-14,102.4,96.14,98.81,100.16
2016-01-15,100.79,96.71,97.93,100.17
2016-01-16,100.3,96.44,97.58,100.17
2016-01-17,99.39,96.79,96.77,100.18
2016-01-18,99.73,96.68,95.79,100.24
2016-01-19,98.92,96.59,94.07,100.24
2016-01-20,97.65,96.86,94.2,100.24
2016-01-21,99.05,96.53,93.63,100.26
2016-01-22,98.89,97.46,94.73,100.26
2016-01-23,98.99,97.39,93.21,100.31
2016-01-24,97.71,97.8,92.68,100.36
2016-01-25,97.26,98.73,94.68,100.36
2016-01-26,97.4,99.39,93.71,100.36
2016-01-27,96.39,98.55,93.51,100.36
2016-01-28,96.77,98.85,92.26,100.36
2016-01-29,96.27,99.41,90.88,100.38
2016-01-30,96.04,99.99,92.56,100.41
2016-01-31,95.54,99.33,92.79,100.41
2016-02-01,97.27,98.94,92.99,100.44
2016-02-02,97.29,99.59,91.23,100.47
2016-02-03,96.37,99.14,91.66,100.47
2016-02-04,97.16,98.99,92.94,100.47
2016-02-05,96.09,100.0,94.22,100.48
2016-02-06,96.32,100.0,95.0,100.48
2016-02-07,94.6,99.57,93.82,100.51
2016-02-08,93.46,99.05,94.21,100.51
2016-02-09,93.68,99.28,94.99,100.53
2016-02-10,94.37,98.48,93.09,100.54
2016-02-11,94.57,98.36,91.95,100.54
2016-02-12,94.5,98.59,92.94,100.54
2016-02-13,94.28,99.43,93.93,100.58
2016-02-14,93.01,99.87,92.32,100.58
2016-02-15,92.42,99.46,93.22,100.58
2016-02-16,92.06,100.22,93.37,100.58
2016-02-17,93.02,100.06,94.26,100.58
2016-02-18,93.36,99.32,93.62,100.58
2016-02-19,91.86,99.24,94.37,100.58
2016-02-20,92.19,100.17,95.34,100.58
2016-02-21,91.89,100.3,95.0,100.63
2016-02-22,91.35,100.33,95.07,100.64
2016-02-23,91.91,101.4,94.42,100.66
2016-02-24,92.85,100.52,96.28,100.66
2016-02-25,93.71,99.74,96.19,100.66
2016-02-26,93.01,98.76,95.23,100.66
2016-02-27,92.78,99.02,94.5,100.68
2016-02-28,93.11,99.15,94.68,100.69
2016-02-29,94.01,100.14,95.56,100.69
2016-03-01,93.62,100.33,94.15,100.71
2016-03-02,93.5,100.1,96.22,100.71
2016-03-03,92.57,100.13,96.62,100.72
2016-03-04,91.57,100.23,97.19,100.72
2016-03-05,92.32,99.21,97.13,100.73
