'question','questionaire_type','sort_order','answer','score','ans_sort_order'
'do you like flowers',"IAAF",'1','strongly agree','5','1'
'do you like flowers',"IAAF",'1','agree','4','2'
'do you like flowers',"IAAF",'1','neutral','3','3'
'do you like flowers',"IAAF",'1','disagree','2','4'
'do you like flowers',"IAAF",'1','strongly disagree','1','5'
'what is your age range',"Demographic",'2','20-30','5','1'
'what is your age range',"Demographic",'2','31-40','4','2'
'what is your age range',"Demographic",'2','410-50','3','3'
'what is your age range',"Demographic",'2','51-60','2','4'
'what is your age range',"Demographic",'2','61-100','1','5'
'do you like to eat cake',"IAAF",'3','5','0','1'
'do you like to eat cake',"IAAF",'3','4','1','2'
'do you like to eat cake',"IAAF",'3','3','2','3'
'do you like to eat cake',"IAAF",'3','2','3','4'
'do you like to eat cake',"IAAF",'3','1','4','5'
'do you like to eat cake',"IAAF",'3','0','5','6'
'what is your income range',"Demographic",'3','10000-20000','5','1'
'what is your income range',"Demographic",'3','20000-30000','4','2'
'what is your income range',"Demographic",'3','30000-40000','3','3'
'what is your income range',"Demographic",'3','40000-50000','2','4'
'what is your income range',"Demographic",'3','50000-60000','1','5'

