Date,Fund_A,Fund_B,Fund_C,Fund_D
2015-12-31,100.0,100.0,100.0,100.0
2016-01-01,99.24,101.96,100.14,100.04
2016-01-02,99.19,101.29,100.23,100.07
2016-01-03,98.88,101.39,99.58,100.02
2016-01-04,98.28,101.36,99.23,100.04
2016-01-05,99.22,101.24,100.0,100.0
2016-01-06,101.01,102.05,101.5,99.98
2016-01-07,99.83,103.13,101.35,99.95
2016-01-08,98.97,102.85,100.13,99.98
2016-01-09,98.33,103.35,99.66,100.02
2016-01-10,99.07,103.72,101.19,99.96
2016-01-11,98.09,104.26,101.25,99.96
2016-01-12,95.53,104.84,99.44,99.99
2016-01-13,95.94,104.54,98.56,100.03
2016-01-14,95.76,104.97,98.02,100.06
2016-01-15,93.92,104.33,96.68,100.1
2016-01-16,94.96,104.37,96.59,100.11
2016-01-17,94.96,103.1,95.77,100.14
2016-01-18,94.61,103.92,95.99,100.13
2016-01-19,93.73,103.85,96.56,100.12
2016-01-20,93.8,103.08,97.49,100.13
2016-01-21,93.61,102.45,98.25,100.14
2016-01-22,93.5,101.84,98.03,100.16
2016-01-23,93.11,102.45,97.53,100.18
2016-01-24,92.5,101.77,96.57,100.18
2016-01-25,91.65,101.56,97.67,100.2
2016-01-26,93.35,102.36,96.24,100.25
2016-01-27,93.85,101.24,96.27,100.26
2016-01-28,95.13,101.85,95.2,100.23
2016-01-29,94.77,102.67,95.89,100.21
2016-01-30,94.71,102.74,94.31,100.19
2016-01-31,94.02,103.3,96.87,100.21
2016-02-01,93.78,102.92,96.44,100.16
2016-02-02,94.09,102.66,95.52,100.16
2016-02-03,93.84,103.47,96.91,100.18
2016-02-04,93.47,103.48,96.94,100.19
2016-02-05,92.96,103.72,98.82,100.2
2016-02-06,92.54,103.99,100.13,100.21
2016-02-07,91.67,103.22,97.93,100.16
2016-02-08,91.09,102.77,96.79,100.16
2016-02-09,90.64,102.14,98.37,100.13
2016-02-10,90.52,103.35,98.47,100.15
2016-02-11,90.09,103.95,98.75,100.2
2016-02-12,90.81,104.32,99.6,100.18
2016-02-13,91.08,104.83,99.54,100.2
2016-02-14,91.38,104.47,100.25,100.22
2016-02-15,90.42,103.54,100.81,100.24
2016-02-16,89.89,104.69,99.61,100.23
2016-02-17,87.87,106.79,99.1,100.19
2016-02-18,87.97,106.49,98.2,100.2
2016-02-19,87.45,105.58,98.13,100.24
2016-02-20,86.57,105.41,96.83,100.22
2016-02-21,86.97,104.44,97.03,100.19
2016-02-22,86.03,104.08,95.84,100.22
2016-02-23,86.45,103.82,95.31,100.24
2016-02-24,85.48,103.69,95.89,100.25
2016-02-25,86.22,103.08,96.05,100.28
2016-02-26,85.37,102.31,96.68,100.3
2016-02-27,85.16,102.82,95.55,100.31
2016-02-28,85.5,102.79,94.9,100.34
2016-02-29,84.92,102.37,96.98,100.31
2016-03-01,84.43,101.95,96.04,100.3
2016-03-02,84.2,101.75,96.07,100.32
2016-03-03,84.33,102.54,95.1,100.31
2016-03-04,85.64,101.46,95.03,100.29
2016-03-05,85.69,101.09,94.56,100.33
2016-03-06,85.29,100.78,93.14,100.36
2016-03-07,86.75,100.59,93.08,100.35
2016-03-08,87.29,101.8,91.8,100.38
2016-03-09,86.33,101.94,89.89,100.37
2016-03-10,85.19,100.72,90.18,100.36
2016-03-11,86.21,100.25,89.23,100.36
2016-03-12,86.32,99.96,89.08,100.39
2016-03-13,86.78,99.52,88.94,100.41
2016-03-14,87.32,99.48,89.01,100.44
2016-03-15,87.69,99.55,89.42,100.5
2016-03-16,87.52,99.71,92.85,100.5
2016-03-17,86.22,99.07,92.19,100.5
2016-03-18,86.77,99.31,93.22,100.48
2016-03-19,86.13,99.45,94.27,100.52
2016-03-20,87.24,100.47,96.38,100.5
2016-03-21,88.12,100.28,94.78,100.46
2016-03-22,88.2,100.56,95.58,100.47
2016-03-23,88.74,100.06,97.4,100.45
2016-03-24,90.09,100.97,97.37,100.44
2016-03-25,87.98,100.93,97.33,100.44
2016-03-26,88.08,101.73,95.14,100.47
2016-03-27,86.91,101.87,95.75,100.44
2016-03-28,88.77,102.2,95.03,100.42
2016-03-29,89.19,101.64,95.94,100.48
2016-03-30,89.48,102.12,94.4,100.48
2016-03-31,88.92,102.58,93.86,100.49
2016-04-01,89.71,103.81,94.93,100.49
2016-04-02,90.13,104.51,94.06,100.47
2016-04-03,92.09,103.97,96.46,100.49
2016-04-04,93.05,103.52,96.4,100.49
2016-04-05,94.45,103.65,96.34,100.5
2016-04-06,94.93,103.55,96.72,100.47
2016-04-07,96.3,103.63,95.69,100.54
2016-04-08,96.1,103.28,96.87,100.54
2016-04-09,95.64,102.61,97.47,100.55
2016-04-10,94.44,102.96,97.71,100.63
2016-04-11,94.75,103.1,97.37,100.65
2016-04-12,94.18,104.12,98.87,100.68
2016-04-13,93.69,102.61,100.43,100.67
2016-04-14,92.65,101.71,100.98,100.67
2016-04-15,92.16,102.51,104.11,100.66
2016-04-16,92.52,103.77,102.62,100.66
2016-04-17,93.43,103.47,103.42,100.65
2016-04-18,93.46,103.79,103.69,100.69
2016-04-19,92.95,103.78,103.08,100.71
2016-04-20,90.95,103.69,101.49,100.75
2016-04-21,91.25,103.32,101.83,100.77
2016-04-22,91.34,104.42,101.22,100.8
2016-04-23,91.64,104.43,101.75,100.84
2016-04-24,91.91,103.91,101.78,100.83
2016-04-25,92.58,103.34,101.76,100.86
2016-04-26,94.72,102.76,100.8,100.88
2016-04-27,93.28,102.77,102.14,100.89
2016-04-28,93.56,103.57,102.72,100.95
2016-04-29,93.5,103.68,102.15,100.93
2016-04-30,93.91,103.8,101.27,100.92
2016-05-01,95.11,104.18,101.36,100.89
2016-05-02,94.45,104.53,100.0,100.93
2016-05-03,94.63,103.72,101.58,100.93
2016-05-04,93.91,104.42,100.86,100.92
2016-05-05,96.21,104.12,101.55,100.87
2016-05-06,96.39,104.44,102.02,100.87
2016-05-07,97.65,103.79,102.83,100.89
2016-05-08,97.84,104.06,102.24,100.95
2016-05-09,98.26,104.68,100.41,100.95
2016-05-10,97.45,104.7,101.03,100.94
